,channel,url,sb_url,,,,,,
0,Angelica,https://www.youtube.com/channel/UCq7jt5BQ6LTULnRbLca0XdQ,https://socialblade.com/youtube/channel/UCq7jt5BQ6LTULnRbLca0XdQ/monthly,,,,,,
1,ASMRctica,https://www.youtube.com/channel/UCi8QgZckGYg3RFvEbdkMWfg,https://socialblade.com/youtube/channel/UCi8QgZckGYg3RFvEbdkMWfg/monthly,,,,,,
2,ASMRDarling,https://www.youtube.com/channel/UCikebqFWoT3QC9axUbXCPYw,https://socialblade.com/youtube/channel/UCikebqFWoT3QC9axUbXCPYw/monthly,,,,,,
3,ASMRGlow,https://www.youtube.com/channel/UCFmL725KKPx2URVPvH3Gp8w,https://socialblade.com/youtube/channel/UCFmL725KKPx2URVPvH3Gp8w/monthly,,,,,,
4,ASMRKittyKlaw,https://www.youtube.com/channel/UCo-gAYrvd7WIrCRsNueddtQ,https://socialblade.com/youtube/channel/UCo-gAYrvd7WIrCRsNueddtQ/monthly,,,,,,
5,ASMRPPOMO,https://www.youtube.com/user/PPOMODOLI,https://socialblade.com/youtube/user/PPOMODOLI/monthly,,,,,,
6,ASMRrequests,https://www.youtube.com/user/ASMRrequests,https://socialblade.com/youtube/user/ASMRrequests/monthly,,,,,,
7,ASMRSoundSpace,https://www.youtube.com/channel/UC7wwQl26xO9-6HLWyrhNXKg,https://socialblade.com/youtube/channel/UC7wwQl26xO9-6HLWyrhNXKg/monthly,,,,,,
8,ASMRSurge,https://www.youtube.com/user/ASMRSURGE,https://socialblade.com/youtube/user/ASMRSURGE/monthly,,,,,,
9,ASMRTheChew,https://www.youtube.com/channel/UCKB6QpT1TKDfJY5W7il8G6Q,https://socialblade.com/youtube/channel/UCKB6QpT1TKDfJY5W7il8G6Q/monthly,,,,,,
11,CreativeCalmASMR,https://www.youtube.com/channel/UCrIPWaSEHW4CqX0hGtxsQwg,https://socialblade.com/youtube/channel/UCrIPWaSEHW4CqX0hGtxsQwg/monthly,,,,,,
12,DrTASMR,https://www.youtube.com/channel/UCgGhVPf9JH9S41mJwJwgNbg,https://socialblade.com/youtube/channel/UCgGhVPf9JH9S41mJwJwgNbg/monthly,,,,,,
13,EphemeralRift,https://www.youtube.com/user/EphemeralRift,https://socialblade.com/youtube/user/EphemeralRift/monthly,,,,,,
14,FairyCharASMR,https://www.youtube.com/user/feirychaRstaRs,https://socialblade.com/youtube/user/feirychaRstaRs/monthly,,,,,,
15,fastASMR,https://www.youtube.com/channel/UCHiof82PvgZrXFF-BRMvGDg,https://socialblade.com/youtube/channel/UCHiof82PvgZrXFF-BRMvGDg/monthly,,,,,,
16,FredsVoiceASMR,https://www.youtube.com/user/WhisperMister1,https://socialblade.com/youtube/user/WhisperMister1/monthly,,,,,,
17,FrivolousFoxASMR,https://www.youtube.com/channel/UCoNfsDH8sZe13u7rSxaEBkw,https://socialblade.com/youtube/channel/UCoNfsDH8sZe13u7rSxaEBkw,,,,,,
18,GentleWhisperingASMR,https://www.youtube.com/user/GentleWhispering,https://socialblade.com/youtube/user/GentleWhispering/monthly,,,,,,
19,GibiASMR,https://www.youtube.com/channel/UCE6acMV3m35znLcf0JGNn7Q,https://socialblade.com/youtube/channel/UCE6acMV3m35znLcf0JGNn7Q/monthly,,,,,,
20,GoodnightMoon,https://www.youtube.com/channel/UClMJgjg2z_IrRm6J9KrhcuQ,https://socialblade.com/youtube/channel/UClMJgjg2z_IrRm6J9KrhcuQ/monthly,,,,,,
21,GwenGwiz,https://www.youtube.com/user/gwenswinarton,https://socialblade.com/youtube/user/gwenswinarton/monthly,,,,,,
22,HeatherFeatherASMR,https://www.youtube.com/user/HeatherFeatherASMR,https://socialblade.com/youtube/user/HeatherFeatherASMR/monthly,,,,,,
23,HermeticKitten,https://www.youtube.com/user/hermetickitten,https://socialblade.com/youtube/user/hermetickitten/monthly,,,,,,
24,JASMR,https://www.youtube.com/channel/UCZ6B7VjEacNY1z3M_xqM_aA,https://socialblade.com/youtube/channel/UCZ6B7VjEacNY1z3M_xqM_aA/monthly,,,,,,
25,JojosAsmr,https://www.youtube.com/channel/UCjyi6by44TTH0j_U3vXEGpA,https://socialblade.com/youtube/channel/UCjyi6by44TTH0j_U3vXEGpA/monthly,,,,,,
26,KarunaSatoriASMR,https://www.youtube.com/user/KarunaSatoriASMR,https://socialblade.com/youtube/user/KarunaSatoriASMR/monthly,,,,,,
27,LatteASMR,https://www.youtube.com/channel/UCQe2Y7V-C9bNMAcCJCBvzQQ,https://socialblade.com/youtube/channel/UCQe2Y7V-C9bNMAcCJCBvzQQ/monthly,,,,,,
28,LauraLemurexASMR,https://www.youtube.com/user/LauraLemureX,https://socialblade.com/youtube/user/LauraLemureX/monthly,,,,,,
29,MarnoASMR,https://www.youtube.com/channel/UC4RdEwzh0r3CuTEElRQ6dpg,https://socialblade.com/youtube/channel/UC4RdEwzh0r3CuTEElRQ6dpg/monthly,,,,,,
30,MassageASMR,https://www.youtube.com/user/MassageASMR,https://socialblade.com/youtube/user/MassageASMR/monthly,,,,,,
31,MiniyuASMR,https://www.youtube.com/user/miniyuasmr,https://socialblade.com/youtube/user/miniyuasmr/monthly,,,,,,
32,MissASMR,https://www.youtube.com/user/videomissasmr,https://socialblade.com/youtube/user/videomissasmr/monthly,,,,,,
33,OliviaKissperASMR,https://www.youtube.com/user/OliviaKissperASMR,https://socialblade.com/youtube/user/OliviaKissperASMR/monthly,,,,,,
34,PelageaASMR,https://www.youtube.com/channel/UCNlMeUt5nOTQ-yfjXzRKVKA,https://socialblade.com/youtube/channel/UCNlMeUt5nOTQ-yfjXzRKVKA/monthly,,,,,,
35,PJDreams,https://www.youtube.com/channel/UCLFeUtRSPnsNsmrPE6VoICg,https://socialblade.com/youtube/channel/UCLFeUtRSPnsNsmrPE6VoICg/monthly,,,,,,
36,RapunzelASMR,https://www.youtube.com/user/SoftlySpokenMe,https://socialblade.com/youtube/user/SoftlySpokenMe/monthly,,,,,,
37,SAS-ASMR,https://www.youtube.com/channel/UCp4LfMtDfoa29kTlLnqQ5Mg,https://socialblade.com/youtube/channel/UCp4LfMtDfoa29kTlLnqQ5Mg/monthly,,,,,,
38,ScottishMurmurs,https://www.youtube.com/channel/UCLcyg3kjSwlUxjnQhSMqfmg,https://socialblade.com/youtube/channel/UCLcyg3kjSwlUxjnQhSMqfmg/monthly,,,,,,
39,SensorAdiASMR,https://www.youtube.com/user/SensorAdi,https://socialblade.com/youtube/user/SensorAdi/monthly,,,,,,
40,SleepyTinglesASMR,https://www.youtube.com/channel/UCuxrVcQuoORj9lvVrEzB_hA,https://socialblade.com/youtube/channel/UCuxrVcQuoORj9lvVrEzB_hA/monthly,,,,,,
41,softlygaloshes,https://www.youtube.com/user/softlygaloshes,https://socialblade.com/youtube/user/softlygaloshes/monthly,,,,,,
42,SouthernASMRSounds,https://www.youtube.com/channel/UCpw8ZudbxklOi73pWeI6s9A,https://socialblade.com/youtube/channel/UCpw8ZudbxklOi73pWeI6s9A/monthly,,,,,,
43,SpringbokASMR,https://www.youtube.com/channel/UC-r8XyqbggZobMiNsqgWkDg,https://socialblade.com/youtube/channel/UC-r8XyqbggZobMiNsqgWkDg/monthly,,,,,,
44,suellASMR,https://www.youtube.com/channel/UCiQOZOhSZpLaigDGgYhT4ng,https://socialblade.com/youtube/channel/UCiQOZOhSZpLaigDGgYhT4ng/monthly,,,,,,
45,TheOneLiliumASMR,https://www.youtube.com/user/TheOneLilium,https://socialblade.com/youtube/user/TheOneLilium/monthly,,,,,,
46,TingleBelleASMR,https://www.youtube.com/channel/UCAL_MPhlbwBNbotjRAzs5uQ,https://socialblade.com/youtube/channel/UCAL_MPhlbwBNbotjRAzs5uQ/monthly,,,,,,
47,TingTingASMR,https://www.youtube.com/channel/UClqNSqnWeOOUVkzcJFj4rBw,https://socialblade.com/youtube/channel/UClqNSqnWeOOUVkzcJFj4rBw/monthly,,,,,,
48,TirarADeguello,https://www.youtube.com/user/TirarADeguello,https://socialblade.com/youtube/user/TirarADeguello/monthly,,,,,,
49,TonyBomboniASMR,https://www.youtube.com/user/Asmrer,https://socialblade.com/youtube/user/Asmrer/monthly,,,,,,
50,WhispersRedASMR,https://www.youtube.com/user/WhispersRedASMR,https://socialblade.com/youtube/user/WhispersRedASMR/monthly,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
